framework,problem,seed,n_evals,hypervolume
VAMOS (numba),zdt1,3,49000,0.9908614817978344
VAMOS (numba),zdt1,3,50000,0.9909011225986364
pymoo,zdt1,3,1000,0.0
pymoo,zdt1,3,2000,0.12508118710870758
pymoo,zdt1,3,3000,0.37988307145450595
pymoo,zdt1,3,4000,0.49345046873105364
pymoo,zdt1,3,5000,0.5653519389922815
pymoo,zdt1,3,6000,0.6193815001374412
pymoo,zdt1,3,7000,0.6558981584281558
pymoo,zdt1,3,8000,0.6773578652039052
pymoo,zdt1,3,9000,0.7053505871915713
pymoo,zdt1,3,10000,0.7221206602063605
pymoo,zdt1,3,11000,0.7312655784661539
pymoo,zdt1,3,12000,0.7466075311644068
pymoo,zdt1,3,13000,0.7866265322826888
pymoo,zdt1,3,14000,0.797511398055321
pymoo,zdt1,3,15000,0.8078985802947052
pymoo,zdt1,3,16000,0.820814185585481
pymoo,zdt1,3,17000,0.8309310581677894
pymoo,zdt1,3,18000,0.8364443823462481
pymoo,zdt1,3,19000,0.8424665264994864
pymoo,zdt1,3,20000,0.8477448724185485
pymoo,zdt1,3,21000,0.8623790936281234
pymoo,zdt1,3,22000,0.8827096309677211
pymoo,zdt1,3,23000,0.8879623091973884
pymoo,zdt1,3,24000,0.8914227900359418
pymoo,zdt1,3,25000,0.8934059209839883
pymoo,zdt1,3,26000,0.8945228138103596
pymoo,zdt1,3,27000,0.8984783511048671
pymoo,zdt1,3,28000,0.9035922467391165
pymoo,zdt1,3,29000,0.9062571663139845
pymoo,zdt1,3,30000,0.9090472475480854
pymoo,zdt1,3,31000,0.910661935528922
pymoo,zdt1,3,32000,0.91430168791433
pymoo,zdt1,3,33000,0.9239457653739821
pymoo,zdt1,3,34000,0.9269859115970187
pymoo,zdt1,3,35000,0.9346537152932163
